SD initialization failed!
Is there an SD card inserted?
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Leonardo
1 3075 103 22.23 0 22.40
2 3186 282 49.11 5 22.40
3 3538 326 59.13 10 22.51
4 3590 188 32.01 15 22.40
5 3670 71 19.06 20 22.40
6 4700 88 20.96 25 22.29
7 5361 62 17.75 30 22.29
8 5371 121 23.66 35 22.40
9 5480 207 35.26 40 22.40
10 6296 142 25.64 45 22.62
11 6440 271 46.93 50 22.40
12 6841 60 17.43 55 22.40
13 7204 117 23.34 60 22.29
14 7432 85 20.67 65 22.40
15 8716 60 17.43 70 22.40
16 8810 419 97.20 75 22.40
17 8821 60 17.43 80 22.51
18 9433 504 143.61 85 22.29
19 9800 63 17.91 90 22.40
20 11048 255 43.96 95 22.29
21 11356 76 19.69 100 22.51
22 11445 51 15.86 105 22.62
23 12004 332 61.17 110 22.51
24 12065 97 21.75 115 22.40
25 12737 58 17.10 120 22.40
26 13794 265 45.75 125 22.40
27 14663 344 64.67 130 22.29
28 15592 76 19.69 135 22.40
29 15642 262 45.24 140 22.51
30 16444 448 112.41 145 22.19
31 17103 172 29.49 150 22.29
32 17464 300 52.79 155 22.29
33 17581 59 17.27 160 22.29
34 17773 50 15.67 165 22.29
35 17838 62 17.75 170 22.29
36 18267 83 20.46 175 22.29
37 18783 70 18.93 180 22.29
38 19167 77 19.81 185 22.29
39 20431 96 21.67 190 22.29
40 20656 62 17.75 195 22.29
41 21401 172 29.49 200 22.29
42 21685 530 159.82 205 22.29
43 22059 88 20.96 210 22.51
44 22959 124 23.92 215 22.29
45 23175 69 18.79 220 22.40
46 23789 186 31.68 225 22.29
47 23897 51 15.86 230 22.19
48 24038 93 21.41 235 22.19
49 24256 248 42.69 240 22.29
50 24998 227 38.83 245 22.40
51 25458 134 24.82 250 22.29
52 26156 335 61.77 255 22.40
53 26435 127 24.18 260 22.29
54 26524 83 20.46 265 22.40
55 26680 56 16.76 270 22.40
56 26867 131 24.54 275 22.29
57 26903 56 16.76 280 22.51
58 27247 99 21.91 285 22.29
59 27413 93 21.41 290 22.51
60 27571 62 17.75 295 22.29
61 28033 63 17.91 300 22.29
